sol,ls,pressure,wind_speed,min_temp,max_temp,avg_temp
1,0.5389221556886228,858.98766766328,3.091310814302183,-57.666649536250524,-12.008956722257619,-34.83780312925407
2,1.0778443113772456,844.0288584370333,3.767907306179049,-58.91509513406463,-10.234987195988476,-34.575041165026555
3,1.6167664670658681,845.1663893588687,2.1986247072995604,-61.16183623735787,-10.151678484588981,-35.65675736097342
4,2.155688622754491,845.7910832557097,3.9298880664310674,-61.438093766762314,-12.439593435989021,-36.938843601375666
5,2.694610778443114,851.8254857528502,2.2025537947562555,-58.303616245664905,-10.707135202043176,-34.505375723854044
6,3.2335329341317363,849.5599222673605,3.62819316237419,-61.630178805560675,-5.83139716064621,-33.73078798310344
7,3.772455089820359,853.5611355869136,3.490305965085897,-57.84882357909784,-9.919656699777269,-33.88424013943755
8,4.311377245508982,850.8691791893344,1.4114737067494656,-58.79398365031919,-8.272586941231197,-33.533285295775194
9,4.850299401197605,849.4306723202486,5.901516752706494,-58.901457561152895,-6.683528220781085,-32.79249289096699
10,5.389221556886228,848.7185989362621,1.6128977113745968,-59.5836580622343,-8.150162225162303,-33.8669101436983
11,5.928143712574851,847.8355062837763,4.798289675878964,-60.41922200155428,-8.168156616855217,-34.29368930920475
12,6.4670658682634725,849.0896809665907,3.814880724625218,-57.79932025277542,-9.687046458956953,-33.743183355866186
13,7.005988023952096,845.2778739032083,6.520637949692458,-56.250968936986965,-8.028094954423391,-32.13953194570518
14,7.544910179640718,849.0772619205936,7.025893975149187,-58.794601319216476,-7.747456327114228,-33.27102882316535
15,8.083832335329342,859.7042402184105,3.520606367004203,-55.38290758642041,-7.406065870573775,-31.394486728497093
16,8.622754491017965,855.9273037586149,6.021893779876581,-53.61597292459737,-4.135311534943531,-28.875642229770452
17,9.161676646706587,850.1718505305923,5.973435565470326,-55.93944797013592,-4.275305180764467,-30.107376575450196
18,9.70059880239521,849.9057706714306,3.5792518318413817,-57.99766290764862,-5.282288436449847,-31.639975672049232
19,10.239520958083832,849.8558809681787,4.621300072052441,-55.57185963534655,-5.671668654320333,-30.621764144833442
20,10.778443113772456,847.842671865551,7.815223348125836,-51.7623012807183,-7.931439604565014,-29.846870442641656
21,11.317365269461078,847.3939214572378,5.751161527142943,-59.421197725823454,-4.714737899007092,-32.067967812415276
22,11.856287425149702,845.5497677373671,3.811026362006439,-53.19614873993705,-1.6781067645944914,-27.43712775226577
23,12.395209580838324,853.5762049536703,1.2552681817453577,-58.668031631810265,-4.476296171541791,-31.572163901676028
24,12.934131736526945,850.7557622191699,4.065181740889454,-55.43567181786531,-5.7246942962287095,-30.580183057047012
25,13.473053892215567,849.3966093449811,4.6696945016293485,-54.46869293699236,-5.866921293805029,-30.167807115398695
26,14.011976047904191,847.2982766114702,7.178027928481956,-53.36146897436957,-5.060895366163485,-29.21118217026653
